Text,Classificacao
BRASIL: Vacinação contra febre amarela é intensificada na zona rural de Araxá https://t.co/k4SesQBYEE… https://t.co/LUfk61N2Ps,Positivo
"New post: ""Três jovens de 20 anos são presos por envolvimento em um roubo em Unaí"" https://t.co/tB7cExLHpB",Positivo
RT @bemestar: Vacinação contra febre amarela é intensificada na zona rural de Uberaba https://t.co/9wes9VLczn,Positivo
"""Representando mais uma ferramenta de monitoramento da educação da rede estadual em Minas, a Secretaria de Estado... https://t.co/brsfBqHXlQ",Positivo
"Trio é preso suspeito de roubo, tráfico e abuso sexual em Uberlândia: Um dos autores teria molestado vítima de… https://t.co/lQ8cTSNftA",Positivo
Vacinação contra febre amarela é intensificada na zona rural de Uberaba https://t.co/wvORtz4jyT #TimBeta,Positivo
@PMMG190 - POLÍCIA MILITAR PRENDE AUTORES DE TRÁFICO DE DROGAS E APREENDE ARMA DE FOGO. https://t.co/xzG1DY28bk,Positivo
Homem é preso em Sabará suspeito de estupro e roubo de celular https://t.co/hKCpbtPR13,Positivo
Polícia Civil de Minas Gerais prende ex-vereador de Esmeraldas acusado de tráfico de droga… https://t.co/3YcUVoEL6D https://t.co/BvR09YMk8V,Positivo
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",Positivo
Polícia prende nove suspeitos de tráfico de drogas em Ipatinga https://t.co/ifmGmEZHJQ https://t.co/iGiGEtg4Ck,Positivo
@PMMG190 - PM prende autor de roubo https://t.co/YpKx4QUqQ7,Positivo
"Governo de #Minas #expulsa 117 #servidores por indisciplina – 44 da educação, 36 da PM, 21 da PC, 8 do CB, o... https://t.co/zt4qHLA10Z",Positivo
Três jovens de 20 anos são presos por envolvimento em um roubo em Unaí https://t.co/cvocJcofLm https://t.co/YqSP79Pe5y,Positivo
Homem é preso suspeito de envolvimento com tráfico de drogas em Belo Horizonte https://t.co/MfaoaoLSdY https://t.co/aL4pau0ziS,Positivo
"RT @NilmaAguiar: Dos grandes centros.O estado em melhor situação salarial.é MG.
Pouco, pra quem perde a vida na mão desses bandidos cada ve…",Positivo
Betim e Contagem intensificam vacinação contra febre amarela neste sábado https://t.co/89FQwnORjm https://t.co/nDVymRuOTk,Positivo
"New post: ""Homem é preso e confessa roubo a farmácia em Montes Claros"" https://t.co/uSfPTr2TCx",Positivo
RT @carlinibh: 'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/oG…,Positivo
"Casal é detido suspeito de tráfico de drogas em Iapu, MG https://t.co/zqCE5mRGKf https://t.co/YMTxq9eF9d",Positivo
"PM detém grupo em atitude suspeita e impede sequestro em Pequeri, MG https://t.co/lTVo8KyBMa https://t.co/R6fCcHT7aF",Positivo
Empresa de lacres de segurança emprega detentas gestantes na RMBH. https://t.co/eHzVf7LJpg https://t.co/wRebdXHgHe,Positivo
Menor é detido com drogas e balança de precisão em Montes Claros https://t.co/qrw37gEbEX,Positivo
.@minsaude enviou equipe da Força Nacional do SUS p/ auxiliar no atendimento aos pacientes com suspeitas de febre amarela em MG. #ColetivaMS,Positivo
"#timbeta #globo Trio é preso suspeito de roubo, tráfico e abuso sexual em Uberlândia https://t.co/FCLzCggUJc #OperacaoBetaLab #Sigodevolta",Positivo
"RT @BlogdoBG: Com três anos, presídio privado em Minas Gerais não teve rebeliões: https://t.co/2p1a5VcTPm",Positivo
"Operação prende criminosos, e apreende drogas e armas #Medina, MG https://t.co/mDO95WwAXD #valedojequitinhonha",Positivo
Jornal O Impacto: Ação do Governo de Minas Gerais beneficiará 12 mil agricultores familiares https://t.co/9xSiuY9C0Z,Positivo
RT @johnnygost: Fernando Pimentel entrega viaturas à PM em Governador Valadares https://t.co/lDI2NOXiRn https://t.co/6TPgqQUcB1,Positivo
#timbeta #globo Ônibus carregado de drogas é flagrado na MG-353; motorista é preso https://t.co/HolfyHPt0I #OperacaoBetaLab #Sigodevolta,Positivo
RT @carlinibh: 'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/oG…,Positivo
"Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/cLoO1SkBz4",Positivo
"Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/z9Fg85nzEd",Positivo
Quatro homens são presos por tráfico de drogas em Janaúba https://t.co/bi3hOW35xU https://t.co/unXgqCX9EU,Positivo
"Trio é preso suspeito de roubo, tráfico e abuso sexual em Uberlândia https://t.co/sfjsqsRmtG",Positivo
Codevasf e Governo de Minas Gerais discutem retomada do convênio para construção da… https://t.co/JjUbGJenpt https://t.co/aNSAH0qWsa,Positivo
Policial de folga impede roubo e detém ladrões em Juiz de Fora https://t.co/aBsHFdw8pv https://t.co/sxLxxKTw3s,Positivo
"Motorista e passageira são presos com mais de 21kg de drogas em Mata Verde, MG https://t.co/sxl6hBzbQj",Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjP21c2 https://t.co/ag3VCTfCbl",Positivo
Homem é preso ao agredir segurança de clube em Três Corações (MG) https://t.co/QCbaUfFQLR https://t.co/aXY56JvNw4,Positivo
"Trio é preso suspeito de roubo, tráfico e abuso sexual em Uberlândia https://t.co/DMDik3wbfC",Positivo
"Após mortes de macacos por febre amarela, autoridades reforçam prevenção na Grande BH https://t.co/TkDPdIXWSM",Positivo
'Jeitinho Kalil': novo prefeito de BH almoça de marmitex e elimina traje formal - Politica - Estado de Minas https://t.co/oGQwx0ICAD,Positivo
"PM prende rapaz por vadiagem e uso de drogas no Centro de Raul Soares, MG https://t.co/euuFL82SBd https://t.co/mcnWoavHiR",Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjP21c2 https://t.co/ag3VCTfCbl",Positivo
RT @cleuberdacunha: RJ faz bloqueio contra febre amarela na divisa com MG https://t.co/z0zK56SKeO https://t.co/qCWHaOSf5L,Positivo
@PMMG190 - PM prende autor de roubo em São Francisco de Paula https://t.co/LBihx6wohW,Positivo
RT @pmmg190: @PMMG190 - Sete Lagoas - PM prende autores de roubo  https://t.co/xElkC8dQng,Positivo
"NENHUMA REBELIÃO EM 10 ANOS DE FUNCIONAMENTO.
Presídio em Minas adota novo modelo e recupera 60% dos presos | https://t.co/eogNXKHG5u",Positivo
"New post: ""Três homens são detidos após roubo em loja de celulares em Ipatinga"" https://t.co/HrulkUISoj",Positivo
Arma e drogas são apreendidas pela PM em baile funk em Januária https://t.co/9YY3Rcv8k5 https://t.co/eleTPYZAzH,Positivo
"RT @prosapolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/KSwQ4nZO1v https://t.co/m2UzoIkIEb",Positivo
#timbeta #globo PM apreende pés de maconha e drogas em Uberlândia https://t.co/XwzYa836iD #OperacaoBetaLab #Sigodevolta,Positivo
Chamada inicial para designação terá início no dia 18 de janeiro de 2017 https://t.co/RT0NOvrbL5,Positivo
Minas Acontece - Polícia Civil mata 07 “cangaceiros” no Norte de Minas e impede roubo a banco https://t.co/HxYPkbzEZr,Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjPjCAC https://t.co/s9yOwjCAmu",Positivo
"Quadrilha é presa por tráfico de drogas em Timóteo, MG https://t.co/gxu19lxT9u https://t.co/cu4jgBpnE9",Positivo
Caminhoneiro suspeito de forjar roubo de carga é preso em Araxá https://t.co/7lYCqOBeNc,Positivo
"RT @felipefonte: Com três anos, presídio privado em Minas Gerais não teve rebeliões. E agora, José? https://t.co/zOGi877LRn",Positivo
"RT @OGloboPolitica: Com três anos, presídio privado em Minas Gerais não teve rebeliões https://t.co/Pls2dpH7j4 https://t.co/7u5I9Kqa1F",Positivo
Três jovens de 20 anos são presos por envolvimento em um roubo em Unaí https://t.co/UvLMS3wj2A https://t.co/VSUotHTuRS,Positivo
@PMMG190 - Menor é apreendido com drogas https://t.co/yAnCkKda4v,Positivo
Polícia apreende armas e drogas em uma casa em Montes Claros https://t.co/SbQwIWysDT #SomosTodosDilma #Raynniere #BuyRaynniereOnItunes,Positivo
"RT @OGloboPolitica: Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos.
https://t.co/82tyxIrCW9 https://t.co/1imuf9X85A",Positivo
@PMMG190 - PONTE NOVA - Traficante é preso e PM apreende 290 pedras de crack https://t.co/yPxPyGu2Zt,Positivo
Vacinação contra febre amarela é intensificada na zona rural de Araxá: Macaco foi encontrado morto na região da…… https://t.co/iKAbd4wd3w,Positivo
Araxá recebe novas doses da vacina contra febre amarela  https://t.co/rcm1i5EY20,Positivo
Aluno de mestrado em Divinópolis desenvolve método de diagnóstico de câncer de boca https://t.co/3A40AGGIKg,Positivo
Homem é preso ao agredir segurança de clube em Três Corações (MG) https://t.co/fNMuPRqn9J https://t.co/qlBPSn4MJw,Positivo
"RT @JornalOGlobo: Com três anos, presídio privado em Minas Gerais não teve rebeliões. https://t.co/GHIgjPjCAC https://t.co/s9yOwjCAmu",Positivo
Rio distribui vacinas contra febre amarela em municípios perto de MG  https://t.co/w2qOuRiJvh https://t.co/eKlSeoXMX6,Positivo
Iveco vende 628 ônibus ao Governo de Minas Gerais - Jornauto https://t.co/xtjnFgFyvq,Positivo
"Prefeitura de Divinópolis, MG realiza processo seletivo para Professor https://t.co/jJbbOoMr9S https://t.co/ZSyJQpjzRx",Positivo
Menor é detido com drogas e balança de precisão em Montes Claros https://t.co/Jeynjak0dC #G1 https://t.co/U55DZvw7U2,Positivo
"RT @caminhodaescola: @CNHIndustrial entrega 628 ônibus ORE 2 IVECO BUS ao Governo de Minas Gerais

https://t.co/yKPqJIKxZl

https://t.co/h0…",Positivo
Vacinação contra febre amarela é intensificada na zona rural de Uberaba https://t.co/FIIQKCyAJh,Positivo
Contratação de professores começa nesta terça-feira em Juiz de Fora https://t.co/hFUQcVW8bO https://t.co/8nhFYfTuD9,Positivo
Presídio em Minas adota novo modelo e consegue recuperar 60% dos presos https://t.co/iDmxKcLzhU https://t.co/hEegqckjwI,Positivo
Motoristas e cobradores manifestam contra insegurança em Juiz de Fora https://t.co/Ms20vdgZbq https://t.co/AzkXBRAlE8,Positivo
